x,y
10,0
10.1,128
10.3,256
10.6,384
11.1,512
11.8,640
12.6,768
13.5,896
14.5,1024
15.7,1152
17.1,1280
18.6,1408
20.2,1536
23.9,1792
28.2,2048
33,2304
38.4,2560
50.9,3072
82.7,4096
124,5120
174.9,6144
236.4,7168
309.5,8192
396.3,9216
500.3,10240
626.7,11264
784.9,12288
991.4,13312
1121.7,13824
1278.2,14336
1471,14848
1716.4,15360
2042.2,15872
2500,16383
