paramName,sysex0,sysex1,nrpn,bytes,scale,signed,min,max,dmin,dmax,exp,thresh,base,coeff,control
mute,00,08,0,1,SW,,,,,,,,,,mute
solo,00,09,1,1,SW,,,,,,,,,,solo
fader,00,0a,2,2,SPLINE,true,-906,100,-1200,60.2,,,,,volume
