x,y
-906,0
-800,132
-600,418
-500,743
-400,1321
-300,2350
-200,4179
-150,5573
-100,7422
-75,8581
-60,9353
-55,9566
-50,9791
-45,10030
-40,10283
-25,11136
-10,12149
-5,12527
0,12927
5,13133
10,13349
25,14081
40,14949
50,15617
60.2,16383
